Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'281126380000,CHEM_PET,S07012019E07312019,3040
'472600344900,MET_ORE,S07012019E07312019,360
'363216316870,MET_ORE,S06012019E06302019,7160
'269290421350,COAL,S11012019E11302019,23562
'191560567500,IM,S03012019E03312019,5040
'581520609300,AG_FOOD,S11012019E11302019,7880
'291257414977,COAL,S04012019E04302019,25406
'261121359814,IM,S07012019E07312019,8000
'353618171760,AG_FOOD,S04012019E04302019,4080
'388260392200,AG_FOOD,S04012019E04302019,6680
'463140457620,NONMET_PRO,S03012019E03312019,7800
'447850443241,MO_VEH,S02012019E02282019,1000
'380000456122,AG_FOOD,S11012019E11302019,3680
'191822380000,CHEM_PET,S07012019E07312019,1600
'201120344200,OTHER,S03012019E03312019,1200
'456495443241,IM,S03012019E03312019,3680
'380000209245,AG_FOOD,S03012019E03312019,4400
'380000491200,MET_ORE,S01012019E01312019,400
'497540381315,AG_FOOD,S09012019E09302019,840
'207310456200,FOR_PROD,S12012019E12312019,400
'424250417500,NONMET_PRO,S07012019E07312019,4640
'380000218155,NONMET_PRO,S09012019E09302019,12640
'380000221000,MO_VEH,S06012019E06302019,760
'432977411260,NONMET_PRO,S08012019E08312019,4480
'467540380000,AG_FOOD,S05012019E05312019,3560
'472600461417,IM,S11012019E11302019,640
'389970491200,NONMET_PRO,S10012019E10312019,4040
'443241447850,IM,S08012019E08312019,49200
'566900191649,MO_VEH,S06012019E06302019,1520
'364650199381,NONMET_PRO,S12012019E12312019,4320
'488592201152,NONMET_PRO,S01012019E01312019,41352
'261121286550,IM,S01012019E01312019,4400
'219986271811,COAL,S09012019E09302019,27591
'261100457210,CHEM_PET,S09012019E09302019,4400
'367823223134,AG_FOOD,S04012019E04302019,5904
'380000368150,FOR_PROD,S11012019E11302019,9560
'468111647000,FOR_PROD,S09012019E09302019,11320
'345237648115,CHEM_PET,S09012019E09302019,8156
'343138428880,AG_FOOD,S03012019E03312019,3840
'647000453360,CHEM_PET,S03012019E03312019,22960
'273543414942,COAL,S11012019E11302019,26796
'436634194299,FOR_PROD,S02012019E02282019,2160
'403896380000,CHEM_PET,S06012019E06302019,35280
'380000234000,CHEM_PET,S12012019E12312019,51502
'363510431525,MET_ORE,S03012019E03312019,4120
'473352439900,OTHER,S01012019E01312019,2160
'346319318342,MET_ORE,S01012019E01312019,3320
'353279261121,IM,S12012019E12312019,3600
'353100191821,MET_ORE,S04012019E04302019,1160
'216644194169,CHEM_PET,S11012019E11302019,2160
'318340191808,CHEM_PET,S03012019E03312019,3708
'403896479800,CHEM_PET,S07012019E07312019,3800
'283625359900,NONMET_PRO,S08012019E08312019,4040
'380000184340,CHEM_PET,S08012019E08312019,4400
'457440496440,NONMET_PRO,S05012019E05312019,28120
'185400445640,FOR_PROD,S04012019E04302019,3000
'458851467833,NONMET_PRO,S02012019E02282019,11344
'353100191478,IM,S08012019E08312019,3200
'432977411260,NONMET_PRO,S06012019E06302019,4640
'170111209740,FOR_PROD,S08012019E08312019,3480
'647000267584,CHEM_PET,S07012019E07312019,7640
'277389453360,CHEM_PET,S09012019E09302019,3920
'566900185400,MO_VEH,S06012019E06302019,1480
'204771345435,NONMET_PRO,S08012019E08312019,4600
'380669396640,NONMET_PRO,S10012019E10312019,3760
'191651368700,IM,S09012019E09302019,10000
'476850456630,NONMET_PRO,S05012019E05312019,6480
'047600194169,CHEM_PET,S06012019E06302019,3040
'384144404940,CHEM_PET,S08012019E08312019,3600
'343100566900,MO_VEH,S01012019E01312019,4000
'439900421940,CHEM_PET,S07012019E07312019,3680
'469880396640,NONMET_PRO,S04012019E04302019,1640
'345282281435,CHEM_PET,S12012019E12312019,5680
'380000218313,CHEM_PET,S04012019E04302019,4200
'403896434300,CHEM_PET,S01012019E01312019,4200
'185400208548,CHEM_PET,S03012019E03312019,4720
'347527209261,CHEM_PET,S07012019E07312019,2560
'359900491200,CHEM_PET,S08012019E08312019,3280
'380000206766,AG_FOOD,S06012019E06302019,3520
'472998202649,FOR_PROD,S03012019E03312019,3440
'380000173360,AG_FOOD,S12012019E12312019,10700
'353100491200,IM,S06012019E06302019,1600
'191478380000,IM,S06012019E06302019,2400
'191410368700,IM,S05012019E05312019,9800
'286550491200,IM,S04012019E04302019,320
'264600363400,MET_ORE,S02012019E02282019,4120
'343689148250,AG_FOOD,S04012019E04302019,1720
'472218361433,MET_ORE,S04012019E04302019,28288
'343100472600,MO_VEH,S10012019E10312019,1000
'396640318116,MO_VEH,S09012019E09302019,920
'439900456940,MET_ORE,S06012019E06302019,6240
'476850456630,NONMET_PRO,S11012019E11302019,3520
'412970453360,CHEM_PET,S02012019E02282019,3880
'456495439900,CHEM_PET,S07012019E07312019,800
'488975395140,CHEM_PET,S08012019E08312019,3840
'318650366250,OTHER,S12012019E12312019,1200
'268479363505,MET_ORE,S01012019E01312019,15400
'219986447134,COAL,S04012019E04302019,75636
'191560472600,AG_FOOD,S05012019E05312019,800
'344900442640,CHEM_PET,S02012019E02282019,3192
'456200191560,AG_FOOD,S03012019E03312019,400
'353279261121,IM,S02012019E02282019,4400
'380000318340,COAL,S08012019E08312019,31620
'207475178955,OTHER,S05012019E05312019,800
'279588257664,COAL,S07012019E07312019,23870
'218500380000,IM,S01012019E01312019,10320
'343100479981,CHEM_PET,S09012019E09302019,2640
'647000194144,CHEM_PET,S01012019E01312019,11200
'380000343689,IM,S05012019E05312019,5160
'363858445450,AG_FOOD,S10012019E10312019,3920
'264600207390,MET_ORE,S08012019E08312019,3480
'647000261800,CHEM_PET,S09012019E09302019,3960
'457210473763,CHEM_PET,S11012019E11302019,4360
'647000455210,CHEM_PET,S12012019E12312019,3760
'461446456201,IM,S03012019E03312019,29480
'212479424960,OTHER,S01012019E01312019,3360
'407750349660,AG_FOOD,S05012019E05312019,7480
'353100261121,MET_ORE,S11012019E11302019,400
'380000250300,CHEM_PET,S05012019E05312019,28360
'445955411860,NONMET_PRO,S07012019E07312019,8640
'163472344192,OTHER,S06012019E06302019,9036
'567500191821,IM,S03012019E03312019,2560
'408845447850,FOR_PROD,S06012019E06302019,7560
'458160449425,NONMET_PRO,S05012019E05312019,26132
'468460439900,AG_FOOD,S03012019E03312019,3720
'380000417484,CHEM_PET,S04012019E04302019,15040
'364650381417,NONMET_PRO,S11012019E11302019,4320
'369140392200,AG_FOOD,S02012019E02282019,23600
'349660439900,AG_FOOD,S11012019E11302019,3000
'349155491200,MO_VEH,S09012019E09302019,1600
'499717447162,MET_ORE,S07012019E07312019,20800
'461446491200,IM,S05012019E05312019,3160
'286550185180,OTHER,S09012019E09302019,4920
'356877486160,CHEM_PET,S04012019E04302019,3800
'453954187255,FOR_PROD,S07012019E07312019,2400
'475346497719,NONMET_PRO,S06012019E06302019,6672
'409160445667,CHEM_PET,S08012019E08312019,14840
'363216453410,MET_ORE,S11012019E11302019,3600
'387764393423,AG_FOOD,S12012019E12312019,8880
'566900261004,AG_FOOD,S12012019E12312019,400
'380000361433,MET_ORE,S11012019E11302019,11400
'380000261800,CHEM_PET,S04012019E04302019,3200
'191560353100,IM,S08012019E08312019,400
'439790204212,AG_FOOD,S02012019E02282019,800
'456200491200,CHEM_PET,S11012019E11302019,1560
'286550261121,CHEM_PET,S03012019E03312019,1200
'343100345750,CHEM_PET,S09012019E09302019,7168
'472983456321,NONMET_PRO,S09012019E09302019,12400
'476139252962,FOR_PROD,S04012019E04302019,3640
'261121396640,CHEM_PET,S07012019E07312019,760
'445485209740,FOR_PROD,S06012019E06302019,3120
'647000421350,CHEM_PET,S09012019E09302019,22960
'368260406631,AG_FOOD,S03012019E03312019,8400
'380000192581,FOR_PROD,S03012019E03312019,3600
'445667647000,CHEM_PET,S04012019E04302019,8280
'380000343497,FOR_PROD,S05012019E05312019,4000
'349960194169,CHEM_PET,S09012019E09302019,27753
'456388380639,IM,S12012019E12312019,17160
'473353267200,CHEM_PET,S05012019E05312019,3960
'439900421350,OTHER,S07012019E07312019,720
'170111417500,FOR_PROD,S04012019E04302019,3640
'264600232357,MET_ORE,S03012019E03312019,8800
'261004341949,CHEM_PET,S11012019E11302019,400
'296230343613,MO_VEH,S12012019E12312019,2400
'380000182381,AG_FOOD,S08012019E08312019,6680
'234000497800,IM,S11012019E11302019,6400
'439900472880,OTHER,S02012019E02282019,1200
'647000359460,CHEM_PET,S02012019E02282019,4160
'461446434300,MO_VEH,S09012019E09302019,480
'359854380000,AG_FOOD,S02012019E02282019,3240
'234000207310,IM,S05012019E05312019,160
'497800417500,MET_ORE,S01012019E01312019,4040
'279517256803,COAL,S12012019E12312019,101676
'456201380639,FOR_PROD,S04012019E04302019,1720
'345750286550,MET_ORE,S01012019E01312019,7880
'456388497540,IM,S02012019E02282019,22080
'369471380000,MET_ORE,S10012019E10312019,3520
'647000461417,IM,S01012019E01312019,4800
'461446439900,IM,S06012019E06302019,13160
'569126609830,AG_FOOD,S04012019E04302019,12012
'647000342870,CHEM_PET,S09012019E09302019,3960
'663687652352,IM,S11012019E11302019,1280
'396609341430,CHEM_PET,S08012019E08312019,3040
'492172387774,CHEM_PET,S12012019E12312019,3960
'380000141260,CHEM_PET,S03012019E03312019,400
'462850465322,FOR_PROD,S12012019E12312019,3400
'447850456377,FOR_PROD,S01012019E01312019,2760
'191560343100,IM,S08012019E08312019,1120
'219986232432,COAL,S08012019E08312019,90094
'473190444620,FOR_PROD,S04012019E04302019,11484
'262400478620,CHEM_PET,S11012019E11302019,7960
'366452463790,AG_FOOD,S03012019E03312019,6288
'475467461450,CHEM_PET,S03012019E03312019,3920
'380000141260,MET_ORE,S06012019E06302019,400
'359430316870,MET_ORE,S04012019E04302019,7320
'185400191651,IM,S08012019E08312019,720
'472605479947,MET_ORE,S08012019E08312019,3720
'387292413350,AG_FOOD,S07012019E07312019,27330
'428880406414,CHEM_PET,S12012019E12312019,7600
'457210268457,CHEM_PET,S01012019E01312019,3800
'380000144220,AG_FOOD,S11012019E11302019,3640
'442178380000,FOR_PROD,S05012019E05312019,4200
'396640368700,AG_FOOD,S02012019E02282019,4160
'421350479473,OTHER,S07012019E07312019,1200
'380000363870,NONMET_PRO,S06012019E06302019,3920
'345894451990,AG_FOOD,S05012019E05312019,3528
'279499256808,COAL,S09012019E09302019,50896
'343100205143,AG_FOOD,S12012019E12312019,3960
'318322380000,MO_VEH,S10012019E10312019,4800
'380000318721,CHEM_PET,S04012019E04302019,8720
'380000259700,AG_FOOD,S10012019E10312019,3440
'234000380639,AG_FOOD,S09012019E09302019,5720
'381315191490,AG_FOOD,S03012019E03312019,5480
'315878396640,MO_VEH,S06012019E06302019,2600
'487158665178,CHEM_PET,S01012019E01312019,3120
'461413428871,AG_FOOD,S10012019E10312019,4280
'417756412878,OTHER,S01012019E01312019,60387
'218500486160,CHEM_PET,S03012019E03312019,2840
'462310318100,NONMET_PRO,S03012019E03312019,3600
'471129221000,FOR_PROD,S02012019E02282019,3240
'353100380000,FOR_PROD,S04012019E04302019,400
'359900491200,IM,S01012019E01312019,8800
'185400173448,MO_VEH,S09012019E09302019,4840
'191821567500,AG_FOOD,S10012019E10312019,400
'466130465590,FOR_PROD,S05012019E05312019,4320
'461450647000,IM,S11012019E11302019,400
'318342346740,CHEM_PET,S10012019E10312019,2600
'439900443624,CHEM_PET,S11012019E11302019,1920
'456200191560,MO_VEH,S06012019E06302019,1200
'268435357969,COAL,S06012019E06302019,22018
'468111209741,FOR_PROD,S04012019E04302019,3280
'206297491200,AG_FOOD,S04012019E04302019,2400
'384850317500,NONMET_PRO,S11012019E11302019,6780
'653900491200,IM,S02012019E02282019,4400
'219986173469,COAL,S11012019E11302019,28620
'457210471995,CHEM_PET,S01012019E01312019,3960
'261121566900,IM,S06012019E06302019,1200
'427370424250,NONMET_PRO,S09012019E09302019,5120
'647000362120,AG_FOOD,S09012019E09302019,3840
'417500447850,IM,S04012019E04302019,2960
'647000265900,CHEM_PET,S04012019E04302019,7640
'262400387650,CHEM_PET,S02012019E02282019,3840
'566900204212,IM,S09012019E09302019,2800
'318378208572,MO_VEH,S07012019E07312019,4800
'396640474363,CHEM_PET,S08012019E08312019,4320
'381315499600,NONMET_PRO,S02012019E02282019,800
'261004392200,IM,S07012019E07312019,400
'439900456940,MET_ORE,S01012019E01312019,18100
'447162499440,MET_ORE,S04012019E04302019,2560
'472983417500,NONMET_PRO,S10012019E10312019,4200
'476917380000,FOR_PROD,S03012019E03312019,9880
'380000359854,AG_FOOD,S09012019E09302019,3400
'362686458940,AG_FOOD,S12012019E12312019,8520
'206297456200,IM,S10012019E10312019,23680
'456388380639,FOR_PROD,S08012019E08312019,2000
'318100207800,IM,S03012019E03312019,1040
'496417445635,MET_ORE,S11012019E11302019,4080
'396640234066,CHEM_PET,S07012019E07312019,3680
'233484447162,MET_ORE,S10012019E10312019,3432
'396292424740,MET_ORE,S07012019E07312019,7600
'457210409711,CHEM_PET,S07012019E07312019,4320
'357998380000,CHEM_PET,S01012019E01312019,4120
'489497472600,CHEM_PET,S01012019E01312019,2600
'439900286516,MO_VEH,S01012019E01312019,3520
'457210566900,CHEM_PET,S12012019E12312019,3960
'278826359430,COAL,S06012019E06302019,23121
'388260392200,AG_FOOD,S03012019E03312019,36744
'353100261109,IM,S07012019E07312019,14480
'403896207310,CHEM_PET,S10012019E10312019,3480
'343100648115,CHEM_PET,S12012019E12312019,2960
'443241456200,MO_VEH,S03012019E03312019,5600
'497354417500,NONMET_PRO,S10012019E10312019,17364
'566900396292,MET_ORE,S01012019E01312019,3200
'207800208510,FOR_PROD,S12012019E12312019,3960
'461417471340,IM,S03012019E03312019,7200
'461446456388,IM,S07012019E07312019,51600
'456495207310,IM,S03012019E03312019,2800
'368700191821,IM,S08012019E08312019,6960
'472963499440,NONMET_PRO,S05012019E05312019,3960
'234000206297,IM,S10012019E10312019,160
'380000191830,FOR_PROD,S03012019E03312019,7080
'479479428879,MET_ORE,S12012019E12312019,3560
'447162472840,MET_ORE,S05012019E05312019,3320
'380000451977,FOR_PROD,S01012019E01312019,3560
'191611318472,IM,S12012019E12312019,2400
'476154465586,MO_VEH,S04012019E04302019,11200
'488430587470,FOR_PROD,S08012019E08312019,3520
'456122472618,MET_ORE,S03012019E03312019,3600
'362686416463,AG_FOOD,S12012019E12312019,10712
'658672581520,CHEM_PET,S04012019E04302019,3320
'380000204138,AG_FOOD,S10012019E10312019,38538
'380000365178,CHEM_PET,S06012019E06302019,4120
'483170602795,CHEM_PET,S12012019E12312019,7440
'380000202421,CHEM_PET,S01012019E01312019,11360
'216698197115,NONMET_PRO,S09012019E09302019,8320
'380000387650,CHEM_PET,S02012019E02282019,22395
'381315182340,AG_FOOD,S07012019E07312019,840
'185180359430,CHEM_PET,S02012019E02282019,4160
'653900456495,AG_FOOD,S10012019E10312019,2800
'191651368700,IM,S12012019E12312019,8160
'461450207390,CHEM_PET,S01012019E01312019,3400
'369140349660,AG_FOOD,S07012019E07312019,27060
'343940453869,MET_ORE,S10012019E10312019,4320
'359415178101,AG_FOOD,S08012019E08312019,1840
'288866453893,NONMET_PRO,S03012019E03312019,23058
'379124256803,COAL,S11012019E11302019,30174
'380000234000,FOR_PROD,S06012019E06302019,3400
'372114407384,AG_FOOD,S02012019E02282019,27837
'472840191267,MO_VEH,S08012019E08312019,6400
'380000257317,CHEM_PET,S06012019E06302019,3920
'279756413314,COAL,S07012019E07312019,73806
'486160361713,FOR_PROD,S09012019E09302019,3800
'497800354600,AG_FOOD,S08012019E08312019,4320
'566457362686,AG_FOOD,S06012019E06302019,28848
'286516344192,MO_VEH,S05012019E05312019,1960
'178964341949,IM,S11012019E11302019,400
'185400380639,IM,S05012019E05312019,1600
'472600191560,IM,S08012019E08312019,800
'567500491200,IM,S06012019E06302019,400
'413350145469,AG_FOOD,S12012019E12312019,3880
'658660619170,CHEM_PET,S07012019E07312019,3840
'261107380639,IM,S01012019E01312019,9440
'208548204210,CHEM_PET,S12012019E12312019,3800
'491200472610,MET_ORE,S05012019E05312019,3520
'381315497800,IM,S02012019E02282019,5360
'318100262600,MET_ORE,S03012019E03312019,4120
'342212567257,MO_VEH,S03012019E03312019,600
'378680359430,MET_ORE,S10012019E10312019,39480
'262400417484,CHEM_PET,S04012019E04302019,3560
'421750499600,CHEM_PET,S01012019E01312019,3120
'286557380000,CHEM_PET,S03012019E03312019,800
'367132194169,CHEM_PET,S02012019E02282019,44400
'380000363300,AG_FOOD,S09012019E09302019,21360
'353100191821,IM,S08012019E08312019,14920
'647000491200,MO_VEH,S08012019E08312019,1640
'447850472780,IM,S04012019E04302019,10440
'284294256808,COAL,S05012019E05312019,75226
'206297472600,CHEM_PET,S09012019E09302019,800
'359900212496,CHEM_PET,S11012019E11302019,4040
'461446434300,IM,S02012019E02282019,40120
'373995496488,COAL,S06012019E06302019,125300
'345282207800,CHEM_PET,S10012019E10312019,2800
'047600194132,CHEM_PET,S12012019E12312019,6240
'424980456200,CHEM_PET,S01012019E01312019,3800
'479473343100,CHEM_PET,S12012019E12312019,3880
'461453447162,MET_ORE,S07012019E07312019,3880
'380000191660,AG_FOOD,S06012019E06302019,3960
'381315191651,IM,S06012019E06302019,37320
'380000201788,CHEM_PET,S05012019E05312019,4080
'491200381315,AG_FOOD,S05012019E05312019,2400
'261004567500,IM,S03012019E03312019,4800
'445955444780,NONMET_PRO,S04012019E04302019,4680
'453954264300,FOR_PROD,S07012019E07312019,4960
'380000191821,MO_VEH,S11012019E11302019,1120
'437280479800,NONMET_PRO,S12012019E12312019,4600
'233853232432,COAL,S08012019E08312019,29697
'185400194144,FOR_PROD,S07012019E07312019,3480
'206297456200,FOR_PROD,S03012019E03312019,1200
'409160444780,MET_ORE,S09012019E09302019,3800
'566457566900,AG_FOOD,S03012019E03312019,11856
'286550345750,MET_ORE,S09012019E09302019,4000
'566790456373,MO_VEH,S06012019E06302019,3160
'380000344621,CHEM_PET,S06012019E06302019,3800
'468110384850,FOR_PROD,S10012019E10312019,6680
'368700366276,OTHER,S01012019E01312019,2520
'439900497540,CHEM_PET,S10012019E10312019,640
'237301257500,OTHER,S12012019E12312019,13320
'318100456910,NONMET_PRO,S11012019E11302019,4520
'392200359882,AG_FOOD,S01012019E01312019,4280
'380000345321,CHEM_PET,S06012019E06302019,12160
'381315182340,IM,S04012019E04302019,17120
'362686380000,CHEM_PET,S03012019E03312019,3252
'379148379164,COAL,S05012019E05312019,137046
'185400191880,OTHER,S04012019E04302019,1200
'345237392200,NONMET_PRO,S06012019E06302019,3960
'380000182367,AG_FOOD,S09012019E09302019,3640
'567500206260,IM,S01012019E01312019,8400
'447850359900,AG_FOOD,S06012019E06302019,3720
'363504343100,CHEM_PET,S07012019E07312019,14960
'380000207310,CHEM_PET,S12012019E12312019,2400
'357998286550,CHEM_PET,S09012019E09302019,3800
'445450412713,CHEM_PET,S10012019E10312019,3840
'396298198543,CHEM_PET,S12012019E12312019,3360
'492171647000,CHEM_PET,S02012019E02282019,7760
'491200234000,FOR_PROD,S01012019E01312019,520
'191651396640,IM,S06012019E06302019,8080
'380000185400,FOR_PROD,S04012019E04302019,400
'365115567257,MO_VEH,S09012019E09302019,1840
'261004359814,IM,S05012019E05312019,14400
'141260380000,FOR_PROD,S12012019E12312019,5200
'380000318730,MET_ORE,S08012019E08312019,3640
'380000286550,CHEM_PET,S09012019E09302019,2640
'439900433540,CHEM_PET,S07012019E07312019,3880
'396292661690,MET_ORE,S10012019E10312019,6720
'392200207310,AG_FOOD,S05012019E05312019,4280
'318100343940,MET_ORE,S11012019E11302019,3880
'318100380000,FOR_PROD,S01012019E01312019,400
'653900491200,MO_VEH,S08012019E08312019,400
'439900265791,CHEM_PET,S12012019E12312019,3480
'315859567257,MO_VEH,S03012019E03312019,480
'471123457140,NONMET_PRO,S11012019E11302019,4120
'343100439900,MO_VEH,S06012019E06302019,1000
'318378208572,MO_VEH,S11012019E11302019,2400
'277592413314,COAL,S02012019E02282019,34104
'464160491965,NONMET_PRO,S07012019E07312019,5196
'474726283363,FOR_PROD,S10012019E10312019,2360
'286550396640,OTHER,S10012019E10312019,800
'447850286550,IM,S11012019E11302019,4400
'363504497664,CHEM_PET,S01012019E01312019,4360
'467850472864,CHEM_PET,S02012019E02282019,4360
'456495207310,IM,S11012019E11302019,2000
'363510436650,CHEM_PET,S03012019E03312019,3600
'261004341800,MET_ORE,S07012019E07312019,800
'256260253900,FOR_PROD,S01012019E01312019,3080
'380000445450,AG_FOOD,S08012019E08312019,3984
'461417286557,IM,S09012019E09302019,3600
'452710497970,NONMET_PRO,S02012019E02282019,3800
'380000418922,FOR_PROD,S06012019E06302019,2480
'447850380000,IM,S08012019E08312019,800
'185180381280,FOR_PROD,S10012019E10312019,2560
'566900318342,MO_VEH,S11012019E11302019,14440
'380000221230,CHEM_PET,S09012019E09302019,3760
'261004359814,CHEM_PET,S09012019E09302019,800
'689100653752,CHEM_PET,S11012019E11302019,14760
'191822380000,IM,S03012019E03312019,25440
'396298318850,CHEM_PET,S05012019E05312019,7720
'445667381474,CHEM_PET,S04012019E04302019,4320
'647000455450,MO_VEH,S12012019E12312019,17280
'279499256808,COAL,S01012019E01312019,51298
'566900191822,CHEM_PET,S09012019E09302019,400
'647000467770,CHEM_PET,S11012019E11302019,3920
'369415497800,CHEM_PET,S12012019E12312019,27786
'566790380037,MO_VEH,S01012019E01312019,1120
'567257318100,MO_VEH,S05012019E05312019,2760
'278272357969,COAL,S07012019E07312019,49098
'416850444463,NONMET_PRO,S12012019E12312019,157204
'221268207841,CHEM_PET,S09012019E09302019,3520
'191649380000,OTHER,S09012019E09302019,920
'647000418550,CHEM_PET,S03012019E03312019,7800
'472983495950,NONMET_PRO,S10012019E10312019,4104
'492450424250,MET_ORE,S11012019E11302019,3600
'379124418794,COAL,S02012019E02282019,50780
'028850208548,CHEM_PET,S03012019E03312019,2600
'380000191600,FOR_PROD,S09012019E09302019,3960
'496417447162,MET_ORE,S03012019E03312019,4080
'216433363400,CHEM_PET,S11012019E11302019,6000
'647000428878,CHEM_PET,S01012019E01312019,3320
'353100261121,CHEM_PET,S10012019E10312019,1200
'347527238217,CHEM_PET,S10012019E10312019,2640
'345360369450,NONMET_PRO,S09012019E09302019,3880
'421750479947,MET_ORE,S08012019E08312019,3680
'367132453869,CHEM_PET,S10012019E10312019,22200
'395140396140,CHEM_PET,S08012019E08312019,3320
