Railroad,Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),2025 Tons,2030 Tons,2035 Tons,2040 Tons,2045 Tons,2050 Tons
USA1,'883000384020,MET_ORE,S08012019E08312019,840,865.2,925.764,953.53692,1048.890612,1080.35733
USA1,'258800264300,FOR_PROD,S10012019E10312019,1680,1780.8,1923.264,2000.19456,2100.204288,2100.204288
USA1,'398760623550,OTHER,S04012019E04302019,1320,1333.2,1453.188,1467.71988,1599.814669,1631.810963
USA1,'684800883160,CHEM_PET,S01012019E01312019,3600,4104,4309.2,4481.568,4660.83072,5173.522099
USA1,'456495566900,MO_VEH,S10012019E10312019,400,416,424.32,432.8064,463.102848,504.7821043
USA1,'209420170111,AG_FOOD,S09012019E09302019,4360,4708.8,5085.504,5187.21408,5602.191206,5826.278855
USA1,'626200698350,OTHER,S12012019E12312019,2840,2868.4,3097.872,3128.85072,3285.293256,3646.675514
USA1,'359900491200,IM,S03012019E03312019,7200,7992,8631.36,8717.6736,8717.6736,9240.734016
USA1,'689100672287,CHEM_PET,S06012019E06302019,3552,3942.72,4179.2832,4262.868864,4262.868864,4689.15575
USA1,'517623504600,MET_ORE,S06012019E06302019,4040,4403.6,4799.924,4799.924,4847.92324,5381.194796
USA1,'353100491200,AG_FOOD,S03012019E03312019,400,424,457.92,476.2368,485.761536,544.0529203
USA1,'191821341949,IM,S06012019E06302019,5600,6104,6226.08,6412.8624,6733.50552,6935.510686
USA1,'170111403330,CHEM_PET,S08012019E08312019,8640,8640,9244.8,9429.696,9901.1808,11386.35792
USA1,'883732380000,IM,S06012019E06302019,16960,18825.6,19955.136,20952.8928,22210.06637,24875.27433
USA1,'690360681620,NONMET_PRO,S07012019E07312019,23436,24842.16,26084.268,27388.4814,29853.44473,33137.32365
USA1,'546283380000,CHEM_PET,S04012019E04302019,15320,15932.8,17048.096,17900.5008,18437.51582,19728.14193
USA1,'880181883000,CHEM_PET,S04012019E04302019,5748,5748,5920.44,5920.44,6394.0752,7289.245728
USA1,'380000491200,AG_FOOD,S07012019E07312019,7520,8497.6,8582.576,8754.22752,8841.769795,9991.199869
USA1,'380000206260,NONMET_PRO,S10012019E10312019,400,408,436.56,449.6568,472.13964,528.7963968
USA1,'380000883734,IM,S05012019E05312019,3400,3672,4002.48,4162.5792,4453.959744,4587.578536
USA1,'345894451990,AG_FOOD,S08012019E08312019,3528,3528,3880.8,4036.032,4076.39232,4198.68409
USA1,'341800363216,MET_ORE,S10012019E10312019,16760,17765.6,19186.848,19762.45344,20750.57611,23240.64525
USA1,'704660849687,AG_FOOD,S06012019E06302019,24882,27121.38,29291.0904,30755.64492,31678.31427,34212.57941
USA1,'396640665943,AG_FOOD,S03012019E03312019,3760,3948,4066.44,4107.1044,4107.1044,4271.388576
USA1,'704150547500,AG_FOOD,S01012019E01312019,3960,4435.2,4701.312,4936.3776,5232.560256,5546.513871
USA1,'456200412750,IM,S10012019E10312019,2400,2424,2448.24,2570.652,2622.06504,2884.271544
USA1,'537565323130,OTHER,S04012019E04302019,128,129.28,134.4512,135.795712,149.3752832,168.79407
USA1,'875640439900,CHEM_PET,S09012019E09302019,1000,1130,1243,1255.43,1368.4187,1382.102887
USA1,'286326362120,MO_VEH,S05012019E05312019,960,1075.2,1150.464,1161.96864,1185.208013,1351.137135
USA1,'581520889593,MO_VEH,S10012019E10312019,1840,2005.6,2005.6,2005.6,2085.824,2127.54048
USA1,'589120513752,OTHER,S08012019E08312019,1760,1830.4,1995.136,2074.94144,2240.936755,2420.211696
USA1,'567500261004,CHEM_PET,S03012019E03312019,3200,3680,3753.6,3866.208,4020.85632,4020.85632
USA1,'439900876411,IM,S02012019E02282019,8120,8688.4,8949.052,8949.052,9128.03304,9401.874031
USA1,'381299668100,CHEM_PET,S07012019E07312019,13360,14028,14729.4,15318.576,15778.13328,15935.91461
USA1,'472880380669,NONMET_PRO,S02012019E02282019,3960,4039.2,4443.12,4665.276,4711.92876,5183.121636
USA1,'396640204168,NONMET_PRO,S05012019E05312019,4480,4928,5075.84,5278.8736,5806.76096,6155.166618
USA1,'413350491200,AG_FOOD,S01012019E01312019,3960,3999.6,4119.588,4243.17564,4625.061448,4902.565134
USA1,'380000343138,OTHER,S11012019E11302019,3360,3830.4,4136.832,4136.832,4136.832,4178.20032
USA1,'284214261020,COAL,S05012019E05312019,12696,13203.84,14260.1472,14687.95162,14981.71065,16330.06461
USA1,'889593581520,MO_VEH,S06012019E06302019,800,888,941.28,941.28,950.6928,1007.734368
USA1,'491200380696,IM,S02012019E02282019,400,428,466.52,471.1852,494.74446,494.74446
USA1,'456200191560,AG_FOOD,S11012019E11302019,800,920,929.2,947.784,957.26184,1062.560642
USA1,'587970879556,CHEM_PET,S01012019E01312019,3920,4037.6,4239.48,4451.454,4451.454,4540.48308
