Railroad,Origin-Destination SPLC,Commodity Group Name,2025 Tons,2030 Tons,2035 Tons,2040 Tons,2045 Tons,2050 Tons
EAST,'207310456200,FOR_PROD,400,436,436,475.24,479.9924,494.392172
EAST,'424250417500,NONMET_PRO,4640,5057.6,5108.176,5618.9936,5787.563408,5903.314676
EAST,'380000218155,NONMET_PRO,12640,13398.4,13666.368,15033.0048,15483.99494,16258.19469
EAST,'380000221000,MO_VEH,760,790.4,829.92,846.5184,846.5184,854.983584
EAST,'432977411260,NONMET_PRO,4480,4838.4,5080.32,5537.5488,5648.299776,5817.748769
EAST,'467540380000,AG_FOOD,3560,3738,3812.76,4194.036,4194.036,4403.7378
EAST,'472600461417,IM,640,704,718.08,746.8032,746.8032,769.207296
EAST,'389970491200,NONMET_PRO,4040,4040,4201.6,4537.728,4583.10528,4720.598438
EAST,'443241447850,IM,49200,51660,54243,58582.44,59168.2644,60943.31233
EAST,'566900191649,MO_VEH,1520,1580.8,1628.224,1644.50624,1677.396365,1694.170328
EAST,'364650199381,NONMET_PRO,4320,4320,4492.8,4672.512,4719.23712,4766.429491
EAST,'488592201152,NONMET_PRO,41352,43006.08,43866.2016,43866.2016,43866.2016,45620.84966
EAST,'261121286550,IM,4400,4796,4987.84,5486.624,5760.9552,5991.393408
EAST,'219986271811,COAL,27591,29246.46,30708.783,32858.39781,34501.3177,35881.37041
EAST,'261100457210,CHEM_PET,4400,4576,4621.76,4991.5008,5041.415808,5243.07244
EAST,'367823223134,AG_FOOD,5904,6435.36,6692.7744,7027.41312,7308.509645,7308.509645
EAST,'380000368150,FOR_PROD,9560,9846.8,9846.8,10339.14,10649.3142,10755.80734
EAST,'468111647000,FOR_PROD,11320,12112.4,12233.524,12722.86496,13359.00821,14026.95862
EAST,'345237648115,CHEM_PET,8156,8971.6,9151.032,9700.09392,9991.096738,10490.65157
EAST,'343138428880,AG_FOOD,3840,4147.2,4188.672,4188.672,4356.21888,4356.21888
EAST,'647000453360,CHEM_PET,22960,25026.4,26027.456,28109.65248,28109.65248,29234.03858
EAST,'273543414942,COAL,26796,27331.92,27605.2392,29537.60594,29537.60594,29537.60594
EAST,'436634194299,FOR_PROD,2160,2246.4,2246.4,2381.184,2404.99584,2525.245632
EAST,'403896380000,CHEM_PET,35280,38808,39972.24,41970.852,42390.56052,42390.56052
EAST,'380000234000,CHEM_PET,51502,51502,53047.06,55699.413,56813.40126,57949.66929
EAST,'363510431525,MET_ORE,4120,4408.4,4452.484,4675.1082,4908.86361,5056.129518
EAST,'473352439900,OTHER,2160,2181.6,2268.864,2382.3072,2429.953344,2454.252877
EAST,'346319318342,MET_ORE,3320,3585.6,3621.456,3766.31424,3879.303667,3918.096704
EAST,'353279261121,IM,3600,3744,3781.44,4159.584,4325.96736,4369.227034
EAST,'353100191821,MET_ORE,1160,1183.2,1183.2,1301.52,1301.52,1366.596
EAST,'216644194169,CHEM_PET,2160,2376,2494.8,2594.592,2646.48384,2699.413517
EAST,'318340191808,CHEM_PET,3708,3782.16,3819.9816,3819.9816,3934.581048,4013.272669
EAST,'403896479800,CHEM_PET,3800,3838,3991.52,4310.8416,4397.058432,4397.058432
EAST,'283625359900,NONMET_PRO,4040,4363.2,4581.36,4947.8688,5046.826176,5198.230961
EAST,'380000184340,CHEM_PET,4400,4488,4667.52,4854.2208,4854.2208,5096.93184
EAST,'457440496440,NONMET_PRO,28120,28120,28120,29807.2,30105.272,30707.37744
EAST,'185400445640,FOR_PROD,3000,3300,3366,3534.3,3569.643,3569.643
EAST,'458851467833,NONMET_PRO,11344,12251.52,12251.52,12864.096,13378.65984,13913.80623
EAST,'353100191478,IM,3200,3360,3393.6,3427.536,3530.36208,3530.36208
EAST,'432977411260,NONMET_PRO,4640,4964.8,5163.392,5524.82944,5690.574323,5861.291553
EAST,'170111209740,FOR_PROD,3480,3654,3727.08,3987.9756,4187.37438,4229.248124
EAST,'647000267584,CHEM_PET,7640,8327.6,8494.152,8664.03504,9010.596442,9010.596442
EAST,'277389453360,CHEM_PET,3920,4233.6,4445.28,4667.544,4760.89488,4808.503829
EAST,'566900185400,MO_VEH,1480,1583.6,1646.944,1712.82176,1747.078195,1816.961323
EAST,'204771345435,NONMET_PRO,4600,4646,4692.46,5114.7814,5319.372656,5425.760109
EAST,'380669396640,NONMET_PRO,3760,3835.2,3873.552,4067.2296,4067.2296,4270.59108
EAST,'191651368700,IM,10000,10800,11340,11793.6,12265.344,12265.344
EAST,'476850456630,NONMET_PRO,6480,7128,7413.12,8080.3008,8161.103808,8242.714846
EAST,'047600194169,CHEM_PET,3040,3161.6,3319.68,3386.0736,3386.0736,3453.795072
EAST,'384144404940,CHEM_PET,3600,3816,3892.32,3892.32,4048.0128,4209.933312
EAST,'343100566900,MO_VEH,4000,4200,4200,4578,4578,4669.56
EAST,'439900421940,CHEM_PET,3680,3753.6,3941.28,3941.28,4138.344,4303.87776
EAST,'469880396640,NONMET_PRO,1640,1787.6,1805.476,1949.91408,1988.912362,2008.801485
EAST,'345282281435,CHEM_PET,5680,5964,6083.28,6265.7784,6453.751752,6711.901822
EAST,'380000218313,CHEM_PET,4200,4620,4712.4,5183.64,5442.822,5660.53488
EAST,'403896434300,CHEM_PET,4200,4620,4666.2,5132.82,5338.1328,5444.895456
EAST,'185400208548,CHEM_PET,4720,4861.6,4861.6,4910.216,5155.7268,5258.841336
EAST,'347527209261,CHEM_PET,2560,2585.6,2637.312,2690.05824,2797.66057,2853.613781
EAST,'359900491200,CHEM_PET,3280,3608,3752.32,3752.32,3827.3664,3903.913728
EAST,'380000206766,AG_FOOD,3520,3520,3696,3843.84,3882.2784,3921.101184
EAST,'472998202649,FOR_PROD,3440,3646.4,3828.72,4211.592,4337.93976,4511.45735
EAST,'380000173360,AG_FOOD,10700,11556,11671.56,12722.0004,13358.10042,13625.26243
EAST,'353100491200,IM,1600,1744,1744,1900.96,1938.9792,2016.538368
EAST,'191478380000,IM,2400,2592,2592,2825.28,2966.544,3025.87488
EAST,'191410368700,IM,9800,10682,10895.64,11767.2912,12237.98285,12727.50216
EAST,'286550491200,IM,320,329.6,346.08,346.08,363.384,374.28552
EAST,'264600363400,MET_ORE,4120,4284.8,4284.8,4627.584,4627.584,4766.41152
EAST,'343689148250,AG_FOOD,1720,1737.2,1789.316,1896.67496,1915.64171,2011.423795
EAST,'472218361433,MET_ORE,28288,28570.88,28856.5888,31742.24768,32377.09263,33995.94727
EAST,'343100472600,MO_VEH,1000,1020,1030.2,1030.2,1071.408,1071.408
EAST,'396640318116,MO_VEH,920,975.2,1023.96,1044.4392,1086.216768,1097.078936
EAST,'439900456940,MET_ORE,6240,6552,6879.6,7223.58,7584.759,7736.45418
EAST,'476850456630,NONMET_PRO,3520,3660.8,3734.016,3734.016,3734.016,3846.03648
EAST,'412970453360,CHEM_PET,3880,3880,3880,4190.4,4358.016,4358.016
EAST,'456495439900,CHEM_PET,800,808,840.32,840.32,865.5296,865.5296
EAST,'488975395140,CHEM_PET,3840,3993.6,3993.6,4353.024,4353.024,4570.6752
EAST,'318650366250,OTHER,1200,1272,1272,1361.04,1429.092,1486.25568
EAST,'268479363505,MET_ORE,15400,15554,15709.54,16180.8262,16828.05925,17501.18162
EAST,'219986447134,COAL,75636,77905.08,80242.2324,80242.2324,82649.49937,82649.49937
EAST,'191560472600,AG_FOOD,800,856,881.68,934.5808,962.618224,981.8705885
EAST,'344900442640,CHEM_PET,3192,3287.76,3287.76,3287.76,3419.2704,3556.041216
EAST,'456200191560,AG_FOOD,400,408,424.32,441.2928,458.944512,458.944512
EAST,'353279261121,IM,4400,4620,4712.4,4900.896,4998.91392,5198.870477
EAST,'380000318340,COAL,31620,32252.4,32252.4,33542.496,34213.34592,35581.87976
EAST,'207475178955,OTHER,800,808,808,872.64,872.64,890.0928
EAST,'279588257664,COAL,23870,23870,24108.7,25314.135,25820.4177,27111.43859
EAST,'218500380000,IM,10320,10320,10836,11486.16,11830.7448,11949.05225
EAST,'343100479981,CHEM_PET,2640,2772,2882.88,3055.8528,3116.969856,3116.969856
EAST,'647000194144,CHEM_PET,11200,11536,11882.08,12357.3632,12604.51046,12856.60067
EAST,'380000343689,IM,5160,5314.8,5527.392,6080.1312,6262.535136,6325.160487
EAST,'363858445450,AG_FOOD,3920,4194.4,4362.176,4362.176,4536.66304,4627.396301
EAST,'264600207390,MET_ORE,3480,3793.2,3906.996,4024.20588,4225.416174,4309.924497
EAST,'647000261800,CHEM_PET,3960,4197.6,4239.576,4239.576,4281.97176,4281.97176
EAST,'457210473763,CHEM_PET,4360,4360,4403.6,4491.672,4716.2556,4763.418156
EAST,'647000455210,CHEM_PET,3760,3872.8,3872.8,4260.08,4387.8824,4607.27652
EAST,'461446456201,IM,29480,30069.6,30370.296,31888.8108,32526.58702,33502.38463
EAST,'212479424960,OTHER,3360,3427.2,3564.288,3778.14528,3815.926733,3815.926733
EAST,'407750349660,AG_FOOD,7480,7704.4,8012.576,8733.70784,9170.393232,9445.505029
EAST,'353100261121,MET_ORE,400,424,445.2,463.008,476.89824,486.4362048
EAST,'380000250300,CHEM_PET,28360,30912.4,30912.4,32767.144,33750.15832,34762.66307
EAST,'445955411860,NONMET_PRO,8640,8726.4,8900.928,9791.0208,10084.75142,10185.59894
EAST,'163472344192,OTHER,9036,9939.6,10436.58,10540.9458,10857.17417,11182.8894
EAST,'567500191821,IM,2560,2585.6,2689.024,2796.58496,2852.516659,2966.617326
EAST,'408845447850,FOR_PROD,7560,7560,7711.2,8019.648,8099.84448,8423.838259
EAST,'458160449425,NONMET_PRO,26132,27699.92,28253.9184,28253.9184,29666.61432,30556.61275
EAST,'468460439900,AG_FOOD,3720,3868.8,3907.488,4220.08704,4346.689651,4564.024134
EAST,'380000417484,CHEM_PET,15040,15190.4,15949.92,16587.9168,17251.43347,17941.49081
EAST,'364650381417,NONMET_PRO,4320,4320,4536,4944.24,5142.0096,5142.0096
EAST,'369140392200,AG_FOOD,23600,24308,24551.08,25287.6124,25540.48852,26562.10806
EAST,'349660439900,AG_FOOD,3000,3300,3465,3603.6,3747.744,3897.65376
EAST,'349155491200,MO_VEH,1600,1728,1814.4,1832.544,1887.52032,1944.14593
EAST,'499717447162,MET_ORE,20800,22256,22701.12,23155.1424,23849.79667,23849.79667
EAST,'461446491200,IM,3160,3349.6,3450.088,3795.0968,3946.900672,3986.369679
EAST,'286550185180,OTHER,4920,5018.4,5168.952,5427.3996,5590.221588,5813.830452
EAST,'356877486160,CHEM_PET,3800,3876,3876,4224.84,4351.5852,4569.16446
EAST,'453954187255,FOR_PROD,2400,2592,2695.68,2695.68,2776.5504,2887.612416
EAST,'475346497719,NONMET_PRO,6672,6738.72,6738.72,7008.2688,7008.2688,7218.516864
EAST,'409160445667,CHEM_PET,14840,16324,16976.96,18674.656,19421.64224,20004.29151
EAST,'363216453410,MET_ORE,3600,3636,3672.36,3929.4252,4008.013704,4208.414389
EAST,'387764393423,AG_FOOD,8880,9768,10256.4,11179.476,11291.27076,11855.8343
EAST,'566900261004,AG_FOOD,400,440,453.2,453.2,462.264,462.264
EAST,'380000361433,MET_ORE,11400,11970,12568.5,13196.925,13460.8635,14133.90668
EAST,'380000261800,CHEM_PET,3200,3520,3660.8,3660.8,3807.232,3807.232
EAST,'191560353100,IM,400,428,432.28,445.2484,445.2484,454.153368
EAST,'439790204212,AG_FOOD,800,840,848.4,882.336,908.80608,954.246384
EAST,'456200491200,CHEM_PET,1560,1638,1687.14,1737.7542,1789.886826,1807.785694
EAST,'286550261121,CHEM_PET,1200,1260,1272.6,1361.682,1402.53246,1472.659083
EAST,'343100345750,CHEM_PET,7168,7669.76,7669.76,7669.76,7899.8528,8057.849856
EAST,'472983456321,NONMET_PRO,12400,13020,13671,14901.39,15348.4317,15348.4317
EAST,'476139252962,FOR_PROD,3640,3894.8,4011.644,4091.87688,4296.470724,4296.470724
EAST,'261121396640,CHEM_PET,760,836,852.72,878.3016,913.433664,922.5680006
EAST,'445485209740,FOR_PROD,3120,3432,3603.6,3675.672,3822.69888,3822.69888
EAST,'647000421350,CHEM_PET,22960,24337.6,25067.728,25318.40528,26584.32554,27381.85531
EAST,'368260406631,AG_FOOD,8400,8904,8904,9616.32,9904.8096,10301.00198
EAST,'380000192581,FOR_PROD,3600,3600,3636,3890.52,4007.2356,4127.452668
EAST,'445667647000,CHEM_PET,8280,8280,8694,8867.88,9133.9164,9590.61222
EAST,'380000343497,FOR_PROD,4000,4280,4280,4451.2,4495.712,4630.58336
EAST,'349960194169,CHEM_PET,27753,27753,29140.65,29140.65,30014.8695,30315.0182
EAST,'456388380639,IM,17160,18532.8,19459.44,20043.2232,20243.65543,20850.96509
EAST,'473353267200,CHEM_PET,3960,4237.2,4321.944,4710.91896,4852.246529,5046.33639
EAST,'439900421350,OTHER,720,763.2,763.2,824.256,832.49856,865.7985024
EAST,'170111417500,FOR_PROD,3640,4004,4204.2,4540.536,4540.536,4585.94136
EAST,'264600232357,MET_ORE,8800,8888,9243.52,10167.872,10472.90816,10891.82449
EAST,'261004341949,CHEM_PET,400,400,400,432,432,444.96
EAST,'296230343613,MO_VEH,2400,2472,2496.72,2571.6216,2571.6216,2597.337816
EAST,'380000182381,AG_FOOD,6680,6947.2,6947.2,7016.672,7297.33888,7516.259046
EAST,'234000497800,IM,6400,6784,7055.36,7055.36,7196.4672,7484.325888
EAST,'439900472880,OTHER,1200,1296,1334.88,1468.368,1512.41904,1588.039992
EAST,'647000359460,CHEM_PET,4160,4201.6,4411.68,4632.264,4632.264,4863.8772
EAST,'461446434300,MO_VEH,480,484.8,489.648,538.6128,565.54344,576.8543088
EAST,'359854380000,AG_FOOD,3240,3564,3635.28,3635.28,3671.6328,3818.498112
EAST,'234000207310,IM,160,160,168,168,168,176.4
EAST,'497800417500,MET_ORE,4040,4444,4666.2,4946.172,5045.09544,5145.997349
EAST,'279517256803,COAL,101676,102692.76,103719.6876,112017.2626,117618.1257,118794.307
EAST,'456201380639,FOR_PROD,1720,1874.8,1912.296,1912.296,1931.41896,1989.361529
EAST,'345750286550,MET_ORE,7880,8668,8928.04,9553.0028,9553.0028,9744.062856
EAST,'456388497540,IM,22080,22300.8,23192.832,24120.54528,24361.75073,24361.75073
EAST,'369471380000,MET_ORE,3520,3660.8,3734.016,3846.03648,3922.95721,4119.10507
EAST,'647000461417,IM,4800,5280,5544,6098.4,6220.368,6469.18272
EAST,'461446439900,IM,13160,13291.6,13291.6,14620.76,15351.798,15351.798
EAST,'569126609830,AG_FOOD,12012,12852.84,12852.84,14138.124,14138.124,14279.50524
EAST,'647000342870,CHEM_PET,3960,4039.2,4241.16,4665.276,4665.276,4665.276
EAST,'663687652352,IM,1280,1331.2,1331.2,1464.32,1537.536,1583.66208
EAST,'396609341430,CHEM_PET,3040,3161.6,3319.68,3419.2704,3556.041216,3627.16204
EAST,'492172387774,CHEM_PET,3960,4276.8,4405.104,4493.20608,4672.934323,4672.934323
EAST,'380000141260,CHEM_PET,400,404,424.2,466.62,466.62,480.6186
EAST,'462850465322,FOR_PROD,3400,3468,3502.68,3747.8676,3860.303628,4053.318809
EAST,'447850456377,FOR_PROD,2760,2815.2,2843.352,3099.25368,3223.223827,3287.688304
EAST,'191560343100,IM,1120,1198.4,1222.368,1344.6048,1371.496896,1412.641803
EAST,'219986232432,COAL,90094,93697.76,97445.6704,97445.6704,97445.6704,100369.0405
EAST,'473190444620,FOR_PROD,11484,12632.4,12885.048,13658.15088,13794.73239,14070.62704
EAST,'262400478620,CHEM_PET,7960,8278.4,8278.4,9023.456,9384.39424,9572.082125
EAST,'366452463790,AG_FOOD,6288,6476.64,6735.7056,6803.062656,7075.185162,7428.94442
EAST,'475467461450,CHEM_PET,3920,4233.6,4275.936,4660.77024,4847.20105,5041.089092
EAST,'380000141260,MET_ORE,400,424,445.2,471.912,481.35024,481.35024
EAST,'359430316870,MET_ORE,7320,7905.6,8142.768,8631.33408,8976.587443,9066.353318
EAST,'185400191651,IM,720,734.4,763.776,779.05152,802.4230656,826.4957576
EAST,'472605479947,MET_ORE,3720,3757.2,3757.2,3869.916,3947.31432,4026.260606
EAST,'387292413350,AG_FOOD,27330,28423.2,29275.896,29275.896,29861.41392,31055.87048
